case,rollout,row,advantage,position,token_id,text,weight,signed_advantage
terminology,1,48,1.4728648662567139,0,785,The,0.82470703125,1.2146820112830028
terminology,1,48,1.4728648662567139,1,17860, Greek,0.461669921875,0.6799774077371694
terminology,1,48,1.4728648662567139,2,20448, Empire,0.96533203125,1.4218036331003532
terminology,1,48,1.4728648662567139,3,11,",",0.94091796875,1.3858450182015076
terminology,1,48,1.4728648662567139,4,476, or,1.46875,2.1632702723145485
terminology,1,48,1.4728648662567139,5,803, more,0.50927734375,0.7500967067899182
terminology,1,48,1.4728648662567139,6,29257, accurately,4.0,5.8914594650268555
terminology,1,48,1.4728648662567139,7,11,",",1.3310546875,1.9604636842850596
terminology,1,48,1.4728648662567139,8,36950, Ancient,1.2822265625,1.8885464544873685
terminology,1,48,1.4728648662567139,9,24427, Greece,1.16015625,1.7087533799931407
terminology,1,48,1.4728648662567139,10,11,",",0.9765625,1.4383445959538221
terminology,1,48,1.4728648662567139,11,702, has,1.1806640625,1.738958616508171
terminology,1,48,1.4728648662567139,12,2115, left,1.41015625,2.076969596557319
terminology,1,48,1.4728648662567139,13,264, a,1.013671875,1.4930016906000674
terminology,1,48,1.4728648662567139,14,28769, lasting,1.9189453125,2.8263471310492605
terminology,1,48,1.4728648662567139,15,19588, legacy,1.73046875,2.548746624030173
terminology,1,48,1.4728648662567139,16,304, in,1.05859375,1.5591655420139432
terminology,1,48,1.4728648662567139,17,5257, various,0.98876953125,1.456323903403245
terminology,1,48,1.4728648662567139,18,13566, aspects,1.037109375,1.527521960902959
terminology,1,48,1.4728648662567139,19,315, of,0.9873046875,1.4541663865093142
terminology,1,48,1.4728648662567139,20,1039, our,1.7646484375,2.5990886848885566
terminology,1,48,1.4728648662567139,21,1879, world,1.087890625,1.6023158798925579
terminology,1,48,1.4728648662567139,22,3351, today,1.1357421875,1.6727947650942951
terminology,1,48,1.4728648662567139,23,13,.,0.95263671875,1.4031051533529535
accountability,2,18,1.344076156616211,238,10751, Enc,0.9169921875,1.2325073350220919
accountability,2,18,1.344076156616211,239,60040,ourage,0.9638671875,1.2955109048634768
accountability,2,18,1.344076156616211,240,6036, leaders,0.89013671875,1.196411539800465
accountability,2,18,1.344076156616211,241,311, to,0.91748046875,1.2331636222079396
accountability,2,18,1.344076156616211,242,1614, model,0.79736328125,1.0717169744893909
accountability,2,18,1.344076156616211,243,27231, transparency,0.85986328125,1.155721734277904
accountability,2,18,1.344076156616211,244,323, and,0.96875,1.3020737767219543
accountability,2,18,1.344076156616211,245,38142, accountability,0.9638671875,1.2955109048634768
accountability,2,18,1.344076156616211,246,11,",",1.0966796875,1.4740210194140673
accountability,2,18,1.344076156616211,247,323, and,0.89453125,1.202318124473095
accountability,2,18,1.344076156616211,248,3331, hold,0.9609375,1.2915731817483902
accountability,2,18,1.344076156616211,249,1105, them,0.9638671875,1.2955109048634768
accountability,2,18,1.344076156616211,250,35877, accountable,4.0,5.376304626464844
accountability,2,18,1.344076156616211,251,369, for,0.9658203125,1.2981360536068678
accountability,2,18,1.344076156616211,252,862, their,0.994140625,1.3362007103860378
accountability,2,18,1.344076156616211,253,6168, actions,0.96337890625,1.294854617677629
accountability,2,18,1.344076156616211,254,323, and,0.99755859375,1.3407947206869721
accountability,2,18,1.344076156616211,255,11181, decisions,0.96337890625,1.294854617677629
accountability,2,18,1.344076156616211,256,13,.,0.96044921875,1.2909168945625424
rainforest,3,31,-1.9361076354980469,129,36134, Tap,1.0390625,-2.0117368400096893
rainforest,3,31,-1.9361076354980469,130,3015, water,4.0,-7.7444305419921875
rainforest,3,31,-1.9361076354980469,131,25,:,0.78857421875,-1.526764566078782
rainforest,3,31,-1.9361076354980469,132,576, The,0.99267578125,-1.921927159652114
rainforest,3,31,-1.9361076354980469,133,8176, Amazon,0.9990234375,-1.9342169053852558
rainforest,3,31,-1.9361076354980469,134,21911, Rain,1.07421875,-2.0798031240701675
rainforest,3,31,-1.9361076354980469,135,50655,forest,0.9931640625,-1.9228725247085094
rainforest,3,31,-1.9361076354980469,136,702, has,1.0146484375,-1.9644685871899128
rainforest,3,31,-1.9361076354980469,137,264, a,1.005859375,-1.9474520161747932
rainforest,3,31,-1.9361076354980469,138,1550, high,0.9970703125,-1.9304354451596737
rainforest,3,31,-1.9361076354980469,139,2188, level,0.9931640625,-1.9228725247085094
rainforest,3,31,-1.9361076354980469,140,315, of,0.9931640625,-1.9228725247085094
rainforest,3,31,-1.9361076354980469,141,59950, precipitation,1.03515625,-2.004173919558525
rainforest,3,31,-1.9361076354980469,142,11,",",0.99169921875,-1.9200364295393229
deduplication,1,45,-2.161689043045044,40,1588, here,0.85498046875,-1.8482019113143906
deduplication,1,45,-2.161689043045044,41,374, is,0.8046875,-1.7394841518253088
deduplication,1,45,-2.161689043045044,42,279, the,0.7001953125,-1.5136045350227505
deduplication,1,45,-2.161689043045044,43,2550, output,0.8740234375,-1.8893668882083148
deduplication,1,45,-2.161689043045044,44,2041, without,0.51904296875,-1.1220094984164461
deduplication,1,45,-2.161689043045044,45,22513, duplicate,1.1826171875,-2.5564506163354963
deduplication,1,45,-2.161689043045044,46,5766, characters,0.93505859375,-2.021305916714482
deduplication,1,45,-2.161689043045044,47,1447,":

",0.91845703125,-1.9854185009608045
deduplication,1,45,-2.161689043045044,48,48,Q,0.93310546875,-2.0170838678022847
deduplication,1,45,-2.161689043045044,49,3627,FA,1.0556640625,-2.2820174370426685
deduplication,1,45,-2.161689043045044,50,54,W,0.9365234375,-2.02447245339863
deduplication,1,45,-2.161689043045044,51,73,j,0.9912109375,-2.142689822940156
deduplication,1,45,-2.161689043045044,52,56,Y,0.94091796875,-2.033972063451074
deduplication,1,45,-2.161689043045044,53,28561,IK,1.47265625,-3.183424879796803
deduplication,1,45,-2.161689043045044,54,1011,ms,1.294921875,-2.799218428786844
deduplication,1,45,-2.161689043045044,55,45,N,1.162109375,-2.512119102757424
deduplication,1,45,-2.161689043045044,56,54929,bv,4.0,-8.646756172180176
deduplication,1,45,-2.161689043045044,57,2277,md,0.58642578125,-1.2676701858872548
deduplication,1,45,-2.161689043045044,58,86,w,0.97802734375,-2.1141909927828237
